Symbol,Name,Industry,Price,Dividend,Market Cap,Revenue,P/B,P/S,P/E,Cashflow,Debt/Equity,Quick Ratio,Change From High,Bounce from bottom,Three month return,Revenue Growth,Earnings Growth
RBX,Raubex Group Limited,Construction Services,18.55,1.19,3371.46,8519.14,0.83,0.40,58.31,113.21,16.28,1.33,-27.25,52.67,-11.67,-1.90,80.76
SSS,Stor-Age Property REIT Ltd,Real Estate Operations,13.00,8.48,5447.96,524.35,1.11,10.39,16.25,-392.01,42.55,0.54,-18.65,29.48,0.78,46.55,69.30
ANH,Anheuser Busch Inbev NV,Beverages (Alcoholic),43.89,2.07,74076.39,46999.29,1.26,1.58,11.28,2880.37,136.08,0.70,-52.66,51.19,-15.60,-9.99,-168.46
GLN,Glencore PLC,Coal,1.57,--,20666.01,172198.50,0.63,0.12,--,1046.27,91.98,0.55,-44.52,42.73,-18.81,-3.53,-203.04
ACT,AfroCentric Investment Corp Ltd,Healthcare Facilities,3.39,10.03,1946.68,5296.79,0.93,0.37,7.15,-33.79,38.86,1.17,-33.53,45.49,13.00,34.84,6.81
S32,South32 Ltd,Metal Mining,1.95,2.96,9450.22,10912.09,0.63,0.87,17.06,606.06,8.89,1.45,-41.27,22.64,-14.44,-15.61,-83.86
ANG,AngloGold Ashanti Limited,Gold & Silver,426.00,0.39,175539.00,61178.14,3.82,2.87,27.91,5224.01,83.48,0.79,-20.15,118.43,50.34,27.36,36.39
CLS,Clicks Group Ltd,Retail (Drugs),232.76,1.91,58356.15,31352.11,12.23,1.86,35.09,2069.75,48.93,0.62,-15.26,25.46,-1.16,9.93,14.15
AGL,Anglo American plc,Metal Mining,16.99,5.24,22905.53,23911.23,1.16,0.96,7.59,1199.16,43.29,1.24,-25.94,66.90,-7.89,8.53,-25.18
BVT,Bidvest Group Ltd,Retail (Specialty),143.00,4.20,48659.23,77152.38,1.89,0.63,12.81,-1103.90,81.39,0.83,-36.77,13.14,-21.12,9.19,-27.64
ACL,ArcelorMittal South Africa Limited,Iron & Steel,0.69,--,785.26,41353.00,0.22,0.02,--,-1362.00,160.29,0.41,-80.23,165.38,-25.00,-12.48,-235.67
WSL,Wescoal Holdings Ltd.,Coal,1.05,--,440.91,3964.57,0.42,0.11,5.21,69.62,53.81,0.83,-38.24,16.67,-12.50,-0.08,-146.90
MUR,Murray & Roberts Holdings Limited,Construction Services,4.51,12.20,2005.76,20167.00,0.31,0.10,4.28,237.70,29.46,1.12,-72.26,28.49,-49.33,10.87,1.61
PAN,Pan African Resources plc,Gold & Silver,0.16,0.75,299.16,174.25,2.04,1.72,9.82,-13.95,72.86,0.38,-11.11,100.00,35.81,36.21,125.40
TRU,Truworths International Limited,Retail (Apparel),31.30,12.27,13878.06,18094.00,1.59,0.77,21.71,1771.00,69.57,1.63,-59.50,40.42,-30.57,0.98,0.52
AVI,AVI Ltd.,Food Processing,73.10,5.61,24176.94,13150.90,5.29,1.84,15.02,-666.50,58.97,0.55,-24.37,23.08,-0.27,1.03,35.58
SOL,Sasol Limited,Chemical Manufacturing,101.00,--,63720.16,203576.00,0.29,0.31,14.58,-23901.00,63.04,0.99,-73.66,386.28,-46.33,-3.67,-72.51
ADH,Advtech Limited,Schools,6.25,4.80,3429.79,5108.00,1.01,0.67,7.18,-225.90,96.61,0.32,-56.60,8.51,-31.09,17.85,13.20
HCI,Hosken Consolidated Investments Limited,Casinos & Gaming,24.00,11.04,2054.90,25160.49,0.13,0.08,2.49,-16.28,152.38,0.57,-78.57,50.00,-67.51,6.00,-45.75
AFT,Afrimat Limited,Construction - Raw Materials,30.20,3.25,4441.14,3304.38,2.42,1.34,8.94,384.80,17.59,1.08,-17.26,43.74,9.78,9.77,24.86
PPC,PPC Ltd,Construction - Raw Materials,0.83,--,1322.29,10409.00,0.14,0.13,5.41,456.00,54.24,0.63,-84.91,36.07,-45.75,-11.60,-101.95
NHM,Northam Platinum Limited,Metal Mining,109.40,--,55882.21,10649.51,5.13,5.25,636.94,213.03,199.73,0.60,-27.05,119.33,-3.53,57.04,1897.67
